"","HAADF","O","Cr","Fe","Ni","Pb","Bi"
"Position","Intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity"
"m","Counts","Counts","Counts","Counts","Counts","Counts","Counts"
6.619382e-09,2.184179e+04,1.259525e-01,2.466068e-01,1.563391e+00,1.935991e-01,1.629436e-02,1.680776e-03
6.672337e-09,2.187129e+04,1.390443e-01,2.406736e-01,1.601144e+00,1.758991e-01,1.848952e-02,2.600655e-03
6.725292e-09,2.187327e+04,1.425626e-01,2.490213e-01,1.634100e+00,1.615866e-01,1.194962e-02,4.235819e-03
6.778248e-09,2.187680e+04,1.516438e-01,2.867325e-01,1.577223e+00,1.400804e-01,4.899015e-03,6.477216e-03
6.831203e-09,2.190679e+04,1.719435e-01,3.167106e-01,1.524257e+00,1.316113e-01,4.492843e-03,9.423834e-03
6.884158e-09,2.190562e+04,1.725638e-01,3.010469e-01,1.540061e+00,1.555480e-01,1.328543e-02,8.218818e-03
6.937113e-09,2.192306e+04,1.564535e-01,2.739544e-01,1.560297e+00,1.865919e-01,2.213471e-02,3.875558e-03
6.990068e-09,2.199207e+04,1.519199e-01,2.710984e-01,1.554208e+00,2.143924e-01,1.709490e-02,1.342003e-03
7.043023e-09,2.193404e+04,1.649444e-01,2.759064e-01,1.537118e+00,2.251759e-01,1.313228e-02,1.811080e-03
7.095978e-09,2.198897e+04,1.817430e-01,2.783785e-01,1.495725e+00,2.093613e-01,1.689183e-02,3.983819e-03
7.148933e-09,2.199704e+04,1.902253e-01,2.728553e-01,1.479249e+00,2.027240e-01,1.753719e-02,7.209894e-03
7.201888e-09,2.203311e+04,1.814845e-01,2.661914e-01,1.504125e+00,2.168833e-01,1.760373e-02,1.090744e-02
7.254843e-09,2.204431e+04,1.768011e-01,2.717554e-01,1.498329e+00,2.055978e-01,2.137509e-02,1.136153e-02
7.307798e-09,2.210644e+04,2.009855e-01,2.863315e-01,1.478143e+00,1.763344e-01,2.073811e-02,8.958280e-03
7.360753e-09,2.218679e+04,2.025078e-01,2.754683e-01,1.511688e+00,1.611475e-01,1.565363e-02,6.585994e-03
7.413708e-09,2.219712e+04,1.784223e-01,2.464881e-01,1.519001e+00,1.612132e-01,9.554713e-03,4.730567e-03
7.466663e-09,2.226779e+04,1.732336e-01,2.476363e-01,1.453684e+00,1.812630e-01,9.683380e-03,3.149730e-03
7.519618e-09,2.221505e+04,1.752178e-01,2.775278e-01,1.373404e+00,2.077386e-01,1.519886e-02,3.235048e-03
7.572573e-09,2.225570e+04,1.583229e-01,3.002301e-01,1.378271e+00,2.166443e-01,1.781373e-02,3.930636e-03
7.625528e-09,2.222942e+04,1.354231e-01,2.947371e-01,1.472845e+00,2.064966e-01,1.835151e-02,3.584498e-03
